,_id,alcohol_vol,balling,beer_name,beer_type,bitterness,brewery,color,description,dry_matter,ebc,group_type,ingredients,price,temperature,vol
100,5bf28b5ce1ac213a4224860a,"5,1",,CHARLIE FIRPO – Rye Pale Ale,ROZSOS PALE ALE,26,hedon.hu,,"Ki tudja? Talán épp ez lesz a kedvenc Hedonod! Egyedülálló élményt kínál. A világos ale jellegzetes maláta-alapú, rozsos színekkel kísért markáns ízvilágát extra mennyiségű amerikai – de nem hagyományos! – komló teszi teljessé.",,,,,,7-9,"Kiszerelés: 0,66 l"
101,5bf28f8ee1ac213a940c8f2f,"5,5 %",,Rizmajer Karácsonyi Sör,,,rizmajersor.hu,,"Klasszikus könnyed fűszeres láger sör, mely az ünnepek hangulatát idézi.",,,,"Alk. 5,5 % (V/V) Összetevők: ivóvíz, pilseni maláta, melanoid maláta, karamell maláta, zabpehely, méz, fahéj, ale típusú élesztó, szegfűszeg.",,,
102,5bf28f8ee1ac213a940c8f30,"4,3%",,Jožin z bažin,,,rizmajersor.hu,,Cseh Pilsner,,,,"Alk.4,3% (V/V) Összetevők: ivóvíz, maláta, komló, sörélesztő",,,
103,5bf28f8ee1ac213a940c8f31,"6,5%",,Waterloo,,,rizmajersor.hu,,Belga Dupla Ale,,,,"Alk. 6,5% (V/V) Összetevők: ivóvíz, maláta (pale ale, biscuit, cara gold, búza), komló (aurora, stirian), candish cukor, apátsági élesztő",,,
104,5bf28f8ee1ac213a940c8f32,"6,5%",,Sissy & Balázs esküvöi söre,,,rizmajersor.hu,,Amerikai amber ale típusu vörös sör,,,,"Alk. 6,5% (V/V) Összetevők: ivóvíz, Maris Otter, apátsági-, biscuit-,müncheni- és kristálymaláták, komló, élesztő",,,
105,5bf28f8ee1ac213a940c8f33,"5,5%",,Rozsdás – Rozsos Sör GPA,,,rizmajersor.hu,,"Ábrahám Máté, Nagy Ervin és Rizmajer József egy különleges Gerilla Pale Ale Rozsos sörrel rukkolt elő: 42% -ban rozs malátából készült sörkülönlegesség.",,,,"Alk. 5,5% (V/V) Összetevők: ivóvíz, maláták ( rozs, müncheni, pilseni, karamell, rozsmaláta), komlók(magnum, tomahowk, amarilló), felső erjesztésű élesztő",,,
106,5bf28f8ee1ac213a940c8f34,"5,5%",,Hippie Terror – Gerilla Pale Lager,,,rizmajersor.hu,,Armandó és a Főzdebusz valamint Rizmajer József összedugták a fejüket és megalkották Armandó amerikai álom sörét! Nem egy rendhagyó sör ahogy már a címke sem az 🙂 mivel ez egy Gerilla Pale Lager!!!,,,,"Alk. 5,5% (V/V) Összetevők: ivóvíz, maláták ( pilseni, carared, carahell), komlók ( warrior, citra, willamette - hidegkomló: citra&willamette), lager élesztő",,,
107,5bf28f8ee1ac213a940c8f35,"5,5",,Rizmajer mézes-narancsos gyömbérsör,,,rizmajersor.hu,,"A Rizmajer 12 Balling fokos mézes-narancsos gyömbérsör a sörfőzde egyik hagyományos terméke, amint eddig karácsonyra készítettünk meglepetésként, de a sikerre való tekintettel egész évben tervezzük a főzését . A pikáns sörkülönlegességet a forró sörlében feloldott narancs, méz és gyömbér aromái egészítik, amelyek harmonikus ízzé lágyítják a komló keserűségét. A Rizmajer mézes-narancsos gyömbérsöre egyedi, saját receptúra […]",,,,"Alk. 5,5 % (V/V) Összetevők: ivóvíz, pilseni maláta, karamell maláta, narancs, méz, gyömbér, sörélesztő, komló",,,
108,5bf28f8ee1ac213a940c8f36," 5,5%",,Karácsonyi Sör,,,rizmajersor.hu,,Karácsonyi Egyedi Sörkülönlegesség,,,,"Alk. 5,5% (V/V) Összetevők: árpamaláta (pilseni, melanoid, karamell) zabpehely, méz, fahéj, ale típusú sörélesztő, szegfűszeg, ivóvíz.",,,
109,5bf28f8ee1ac213a940c8f37,"6,5%",,Warrior – Scottish Ale,,,rizmajersor.hu,,"Kelemen Ottó Grand Champion díjat érdemelt söre a Rizmajer Sörfőzdéhez adaptálva, mely egy gazdag malátás alapokon nyugvó erős skót ale, tőzegfüstös jegyekkel gazdagítva.",,,,"Alk. 6,5% (V/V) Összetevők: ivóvíz, maláták (Maris Otter pale ale, münchen, caramünich, carared, tőzegen füstölt m., specB), komló, felső erjesztésű élesztő",,,
